filter,target,model_type,independent_vars,adj_r_squared,f_pvalue,n_obs,significant_vars
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness, content-enjoyment, content-usefulness",0.12946182782591487,0.12708423221522852,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:production-complexity, content-enjoyment, production-complexity",0.19734077801907446,0.061198430026778536,24,"content-enjoyment:production-complexity*, content-enjoyment*, production-complexity*"
no_filter,unaided,explicit_vars_only,"content-enjoyment:production-quality, content-enjoyment, production-quality",0.11723157551199193,0.14376732685648502,24,
no_filter,unaided,explicit_vars_only,"content-usefulness:production-complexity, content-usefulness, production-complexity",0.12227498262612246,0.13667871025707679,24,
no_filter,unaided,explicit_vars_only,"content-usefulness:production-quality, content-usefulness, production-quality",0.2331159823653305,0.040287303072741094,24,
no_filter,unaided,explicit_vars_only,"production-complexity:production-quality, production-complexity, production-quality",0.17760206307966797,0.07631305826599454,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness:production-complexity, content-enjoyment, content-usefulness, production-complexity",0.1710246690708942,0.10948022679970802,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness:production-quality, content-enjoyment, content-usefulness, production-quality",0.16016936690988792,0.12124084252999674,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:production-complexity:production-quality, content-enjoyment, production-complexity, production-quality",0.2571964504070552,0.04512537300467688,24,
no_filter,unaided,explicit_vars_only,"content-usefulness:production-complexity:production-quality, content-usefulness, production-complexity, production-quality",0.16763802711342235,0.11304652855296678,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness:production-complexity:production-quality, content-enjoyment, content-usefulness, production-complexity, production-quality",0.20745498558639985,0.09899011633162083,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment, content-enjoyment",0.050675189184084424,0.1497542766913743,24,
no_filter,unaided,explicit_vars_only,"content-usefulness, content-usefulness",0.0911206039988085,0.08267509027282695,24,
no_filter,unaided,explicit_vars_only,"production-complexity, production-complexity",0.04601115973273784,0.1605206492323848,24,
no_filter,unaided,explicit_vars_only,"production-quality, production-quality",0.1733587029170991,0.024588521841117865,24,"production-quality*, production-quality*"
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness, content-enjoyment, content-usefulness, is-demanding",0.1470448957474274,0.13678235203210365,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:production-complexity, content-enjoyment, production-complexity, is-demanding",0.21849642226654498,0.06835366726335121,24,"content-enjoyment:production-complexity*, content-enjoyment*, production-complexity*"
no_filter,unaided,explicit_vars_only,"content-enjoyment:production-quality, content-enjoyment, production-quality, is-demanding",0.13417094594330037,0.15351577384948226,24,
no_filter,unaided,explicit_vars_only,"content-usefulness:production-complexity, content-usefulness, production-complexity, is-demanding",0.13947979553712064,0.14643131539870824,24,
no_filter,unaided,explicit_vars_only,"content-usefulness:production-quality, content-usefulness, production-quality, is-demanding",0.25615453210470673,0.04565022852357443,24,
no_filter,unaided,explicit_vars_only,"production-complexity:production-quality, production-complexity, production-quality, is-demanding",0.19771882759348414,0.08442932710994676,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness:production-complexity, content-enjoyment, content-usefulness, production-complexity, is-demanding",0.19189362083499084,0.11362155142462635,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness:production-quality, content-enjoyment, content-usefulness, production-quality, is-demanding",0.1804352463317056,0.12541819624484374,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:production-complexity:production-quality, content-enjoyment, production-complexity, production-quality, is-demanding",0.2828527233564955,0.04763487858257425,24,
no_filter,unaided,explicit_vars_only,"content-usefulness:production-complexity:production-quality, content-usefulness, production-complexity, production-quality, is-demanding",0.1883188321021041,0.11720644490338643,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness:production-complexity:production-quality, content-enjoyment, content-usefulness, production-complexity, production-quality, is-demanding",0.2316944825434143,0.09953207799939942,24,
no_filter,unaided,explicit_vars_only,"content-enjoyment, content-enjoyment, is-demanding",0.06283193451108093,0.19464527726367772,24,
no_filter,unaided,explicit_vars_only,"content-usefulness, content-usefulness, is-demanding",0.10520332145983935,0.11974741074044869,24,
no_filter,unaided,explicit_vars_only,"production-complexity, production-complexity, is-demanding",0.05794580841919417,0.20556876286958223,24,
no_filter,unaided,explicit_vars_only,"production-quality, production-quality, is-demanding",0.19135752032662023,0.04136224592275836,24,"production-quality*, production-quality*"
no_filter,unaided,explicit_vars_only,"content-enjoyment:content-usefulness, content-enjoyment, content-usefulness, is-playlist",0.08544756223382877,0.23159247475537875,24,
