file,content-enjoyment,content-usefulness,production-complexity,production-quality
lineare_a2a.wav,7.297025680541992,7.631387233734131,7.103477954864502,8.231107711791992
lineare_ace.wav,5.886321067810059,6.453404426574707,4.109527587890625,7.966639041900635
lineare_fiorentini.wav,7.197010517120361,7.041037559509277,6.49030065536499,8.217696189880371
lineare_garofalo.wav,6.11377477645874,4.88062858581543,6.430487632751465,7.392757892608643
lineare_hai-assicurazione.wav,5.740926742553711,6.3439764976501465,1.9186794757843018,7.670848369598389
lineare_postepay.wav,6.809983730316162,6.938411235809326,6.849662780761719,7.8923234939575195
lineare_seresto.wav,5.3464765548706055,4.627345561981201,6.410861015319824,7.691172122955322
lineare_suzuki.wav,5.964486598968506,4.844993591308594,6.514188766479492,7.198999881744385
playlist_bernina.mp3,6.759500980377197,5.2218732833862305,6.496495246887207,7.747781276702881
playlist_citroen.mp3,5.785449981689453,6.332826614379883,5.257134437561035,7.861231327056885
playlist_melinda.mp3,6.2286224365234375,6.0477728843688965,6.500405311584473,7.87640905380249
playlist_natural-trainer.mp3,6.344067096710205,5.609169006347656,6.538503646850586,7.953866958618164
playlist_parmareggio.mp3,6.677727222442627,5.640616416931152,6.699841499328613,7.807872772216797
playlist_repower.mp3,6.305099964141846,5.67633056640625,6.908420562744141,7.500103950500488
playlist_tenderly.mp3,5.872531890869141,4.677936553955078,5.47174072265625,7.0749592781066895
playlist_valfrutta.mp3,6.01584529876709,6.011967182159424,5.741120338439941,7.711376190185547
playlist_yakult.mp3,6.354248523712158,6.532869338989258,6.616539478302002,7.933069229125977
